Category,Month,Longitude,Latitude,Count
Anti_Social,1,-5.686905,50.1225,1
Anti_Social,1,-5.682681,50.123993,2
Anti_Social,1,-5.682112,50.125513,3
Anti_Social,1,-5.671393,50.145799,1
Anti_Social,1,-5.661756,50.151592,2
Anti_Social,1,-5.65431,50.107958,2
Anti_Social,1,-5.650519,50.121555,1
Anti_Social,1,-5.627726999999998,50.127137,1
Anti_Social,1,-5.623085,50.072375,2
Anti_Social,1,-5.621135,50.07285,1
Anti_Social,1,-5.600823,50.130792,1
Anti_Social,1,-5.5799959999999995,50.167864,1
Anti_Social,1,-5.576626,50.105117,1
Anti_Social,1,-5.567455000000002,50.133208,3
Anti_Social,1,-5.567455000000001,50.133208,2
Anti_Social,1,-5.566751,50.132402,1
Anti_Social,1,-5.558255,50.10902,1
Anti_Social,1,-5.557714,50.126058,3
Anti_Social,1,-5.556344999999999,50.124202000000004,1
Anti_Social,1,-5.5563449999999985,50.124202,2
Anti_Social,1,-5.556013,50.129529,1
Anti_Social,1,-5.554697,50.124621999999995,5
Anti_Social,1,-5.554697,50.124622,5
Anti_Social,1,-5.553998,50.125201,3
Anti_Social,1,-5.553998,50.125201000000004,3
Anti_Social,1,-5.551972,50.098606,2
Anti_Social,1,-5.551680999999999,50.101484,1
Anti_Social,1,-5.55163,50.118922,1
Anti_Social,1,-5.551525,50.103343,2
Anti_Social,1,-5.551239,50.125546,1
Anti_Social,1,-5.550909,50.099367,3
Anti_Social,1,-5.550027,50.106339,1
Anti_Social,1,-5.550022,50.098332,2
Anti_Social,1,-5.549861,50.10504,1
Anti_Social,1,-5.549814,50.12690300000001,1
Anti_Social,1,-5.549411,50.099539,2
Anti_Social,1,-5.549036,50.125848,1
Anti_Social,1,-5.547882,50.07829,1
Anti_Social,1,-5.546083,50.11184,1
Anti_Social,1,-5.544619,50.129131,1
Anti_Social,1,-5.54394,50.113138,2
Anti_Social,1,-5.542751,50.11958,2
Anti_Social,1,-5.542006,50.118964,1
Anti_Social,1,-5.541647,50.128305,1
Anti_Social,1,-5.5415160000000006,50.118763,2
Anti_Social,1,-5.541466000000002,50.122444,3
Anti_Social,1,-5.541466000000001,50.122444,1
Anti_Social,1,-5.541053,50.128979,2
Anti_Social,1,-5.541030999999999,50.117878000000005,1
Anti_Social,1,-5.5410309999999985,50.11787800000001,1
Anti_Social,1,-5.540801999999999,50.123688,2
Anti_Social,1,-5.5408019999999985,50.123688,2
Anti_Social,1,-5.540233,50.117687,1
Anti_Social,1,-5.539455,50.120985,2
Anti_Social,1,-5.539251999999999,50.123924,1
Anti_Social,1,-5.539116,50.083219,1
Anti_Social,1,-5.538922,50.121721,1
Anti_Social,1,-5.538917,50.115406,2
Anti_Social,1,-5.538818,50.114059000000005,1
Anti_Social,1,-5.538818,50.11405900000001,1
Anti_Social,1,-5.538741,50.118902,4
Anti_Social,1,-5.538708,50.11731,1
Anti_Social,1,-5.538656,50.118509,1
Anti_Social,1,-5.53843,50.114683,2
Anti_Social,1,-5.538382,50.116871,1
Anti_Social,1,-5.538376,50.127595,2
Anti_Social,1,-5.538025,50.120003,1
Anti_Social,1,-5.538025,50.120003000000004,1
Anti_Social,1,-5.5379510000000005,50.122219,2
Anti_Social,1,-5.5379010000000015,50.1259,1
Anti_Social,1,-5.537848,50.11704,1
Anti_Social,1,-5.537582,50.118163,2
Anti_Social,1,-5.537192,50.122557,1
Anti_Social,1,-5.537182,50.121855,1
Anti_Social,1,-5.53716,50.119283,6
Anti_Social,1,-5.537134,50.11797,4
Anti_Social,1,-5.537056,50.11844,3
Anti_Social,1,-5.536829,50.114984,1
Anti_Social,1,-5.536034,50.118238,4
Anti_Social,1,-5.535913,50.11754000000001,1
Anti_Social,1,-5.535804,50.124416,4
Anti_Social,1,-5.535747,50.116429,1
Anti_Social,1,-5.53554,50.119890000000005,1
Anti_Social,1,-5.53554,50.11989000000001,1
Anti_Social,1,-5.535332,50.116496000000005,1
Anti_Social,1,-5.534661,50.120106,7
Anti_Social,1,-5.534393,50.118756,2
Anti_Social,1,-5.534096,50.121563,4
Anti_Social,1,-5.533930000000001,50.119876,2
Anti_Social,1,-5.533453,50.121951,2
Anti_Social,1,-5.533277,50.121084,2
Anti_Social,1,-5.533174,50.122715,2
Anti_Social,1,-5.533081,50.121458,1
Anti_Social,1,-5.533081,50.121458000000004,1
Anti_Social,1,-5.533007,50.123305,1
Anti_Social,1,-5.531747,50.115309,2
Anti_Social,1,-5.531275,50.116125,2
Anti_Social,1,-5.531047,50.123671,1
Anti_Social,1,-5.530151,50.16887,1
Anti_Social,1,-5.527979,50.12552700000001,1
Anti_Social,1,-5.525837999999999,50.129515000000005,2
Anti_Social,1,-5.5258379999999985,50.12951500000001,1
Anti_Social,1,-5.52571,50.126262,2
Anti_Social,1,-5.525109,50.127981,3
Anti_Social,1,-5.52294,50.128748,3
Anti_Social,1,-5.521252,50.127108,2
Anti_Social,1,-5.521012000000002,50.128222,2
Anti_Social,1,-5.521012000000001,50.128221999999994,1
Anti_Social,1,-5.507006,50.171092,2
Anti_Social,1,-5.50019,50.130553000000006,2
Anti_Social,1,-5.4932300000000005,50.211093,2
Anti_Social,1,-5.491698,50.205093,1
Anti_Social,1,-5.490997,50.207201,1
Anti_Social,1,-5.49091,50.20581,1
Anti_Social,1,-5.489491,50.145261,1
Anti_Social,1,-5.488632,50.210133,1
Anti_Social,1,-5.488565,50.210747,1
Anti_Social,1,-5.485621,50.146330999999996,1
Anti_Social,1,-5.485621,50.146331,1
Anti_Social,1,-5.482255,50.211306,1
Anti_Social,1,-5.481935,50.21288,2
Anti_Social,1,-5.481546,50.211588,1
Anti_Social,1,-5.481187,50.211086,1
Anti_Social,1,-5.480531,50.211501,1
Anti_Social,1,-5.480529,50.211096000000005,1
Anti_Social,1,-5.480529,50.21109600000001,1
Anti_Social,1,-5.480361,50.213791,2
Anti_Social,1,-5.479996,50.213011,1
Anti_Social,1,-5.479625,50.211195,1
Anti_Social,1,-5.478038,50.215579,1
Anti_Social,1,-5.476408,50.148056,2
Anti_Social,1,-5.473487,50.19811,1
Anti_Social,1,-5.472062,50.193537,2
Anti_Social,1,-5.46948,50.124125,4
Anti_Social,1,-5.467095,50.193461,2
Anti_Social,1,-5.466025,50.190488,2
Anti_Social,1,-5.455779,50.166404,3
Anti_Social,1,-5.431908,50.165358000000005,1
Anti_Social,1,-5.429965,50.119471000000004,1
Anti_Social,1,-5.429837,50.165384,2
Anti_Social,1,-5.429346,50.165182,1
Anti_Social,1,-5.427245,50.127998999999996,1
Anti_Social,1,-5.427245,50.127999,1
Anti_Social,1,-5.426572,50.164967,1
Anti_Social,1,-5.423807,50.118465,1
Anti_Social,1,-5.422932,50.183391,1
Anti_Social,1,-5.421721,50.18331,2
Anti_Social,1,-5.421341,50.182701,2
Anti_Social,1,-5.421333,50.18396,2
Anti_Social,1,-5.4196800000000005,50.188272999999995,1
Anti_Social,1,-5.4196800000000005,50.188273,1
Anti_Social,1,-5.417811,50.186628000000006,1
Anti_Social,1,-5.417103,50.188682,1
Anti_Social,1,-5.416793,50.183752,1
Anti_Social,1,-5.416561,50.187178,1
Anti_Social,1,-5.415734,50.189928,1
Anti_Social,1,-5.414814,50.183325,4
Anti_Social,1,-5.414227,50.187067,1
Anti_Social,1,-5.4142269999999995,50.187067,1
Anti_Social,1,-5.409975,50.190321999999995,2
Anti_Social,1,-5.409975,50.190322,1
Anti_Social,1,-5.4098739999999985,50.189498,1
Anti_Social,1,-5.408551,50.189995,1
Anti_Social,1,-5.408333,50.190488,1
Anti_Social,1,-5.4080379999999995,50.191054,2
Anti_Social,1,-5.4062220000000005,50.193104,1
Anti_Social,1,-5.405126,50.192669,1
Anti_Social,1,-5.4041559999999995,50.193615,1
Anti_Social,1,-5.403196,50.193715000000005,1
Anti_Social,1,-5.401446,50.199847999999996,1
Anti_Social,1,-5.400305,50.196607,2
Anti_Social,1,-5.391977,50.133903,1
Anti_Social,1,-5.391977,50.133903000000004,1
Anti_Social,1,-5.390253,50.142581,1
Anti_Social,1,-5.3902529999999995,50.142581,2
Anti_Social,1,-5.388637999999999,50.194933,1
Anti_Social,1,-5.3886379999999985,50.194933,1
Anti_Social,1,-5.388558,50.104558,1
Anti_Social,1,-5.381352,50.215953999999996,1
Anti_Social,1,-5.381352,50.215954,1
Anti_Social,1,-5.3672260000000005,50.187396,1
Anti_Social,1,-5.3668190000000005,50.20371,1
Anti_Social,1,-5.3421199999999995,50.196867,1
Anti_Social,1,-5.337564,50.103212,1
Anti_Social,1,-5.329771,50.21937,2
Anti_Social,1,-5.328848000000001,50.192840000000004,1
Anti_Social,1,-5.318601,50.216002,1
Anti_Social,1,-5.315709,50.090569,2
Anti_Social,1,-5.315443,50.218584,1
Anti_Social,1,-5.315086,50.083363,2
Anti_Social,1,-5.314465,50.22652,2
Anti_Social,1,-5.31058,50.213361,2
Anti_Social,1,-5.31035,50.083417,4
Anti_Social,1,-5.309291,50.175902,2
Anti_Social,1,-5.3074129999999995,50.213982,1
Anti_Social,1,-5.306758,50.216879999999996,1
Anti_Social,1,-5.306456,50.212912,1
Anti_Social,1,-5.30607,50.215847,3
Anti_Social,1,-5.3055,50.214504,1
Anti_Social,1,-5.305385,50.205737,1
Anti_Social,1,-5.302702,50.213577,7
Anti_Social,1,-5.301315,50.218249,2
Anti_Social,1,-5.30115,50.213027,1
Anti_Social,1,-5.30115,50.213027000000004,2
Anti_Social,1,-5.3010660000000005,50.213434,4
Anti_Social,1,-5.300582,50.211496,1
Anti_Social,1,-5.300513,50.219837,1
Anti_Social,1,-5.300219,50.209689,3
Anti_Social,1,-5.300219,50.209689000000004,1
Anti_Social,1,-5.300091,50.21393,24
Anti_Social,1,-5.300017,50.215092,1
Anti_Social,1,-5.299991,50.21288,7
Anti_Social,1,-5.299856,50.21337,3
Anti_Social,1,-5.299042,50.212133,2
Anti_Social,1,-5.298801999999999,50.219832000000004,1
Anti_Social,1,-5.2988019999999985,50.219832,1
Anti_Social,1,-5.298681,50.212593,1
Anti_Social,1,-5.2982580000000015,50.209106,1
Anti_Social,1,-5.298258000000001,50.209106,1
Anti_Social,1,-5.297915,50.21347,4
Anti_Social,1,-5.297651,50.213918,2
Anti_Social,1,-5.297530999999999,50.214622999999996,2
Anti_Social,1,-5.297530999999998,50.214623,1
Anti_Social,1,-5.297396,50.213071,2
Anti_Social,1,-5.296723,50.215708,1
Anti_Social,1,-5.296487,50.212692,1
Anti_Social,1,-5.296214,50.214427,2
Anti_Social,1,-5.295804,50.211533,1
Anti_Social,1,-5.295729,50.213487,2
Anti_Social,1,-5.2953199999999985,50.215487,1
Anti_Social,1,-5.295089,50.218237,1
Anti_Social,1,-5.295086,50.211886,2
Anti_Social,1,-5.293914,50.21137,2
Anti_Social,1,-5.29375,50.213867,2
Anti_Social,1,-5.2932739999999985,50.2155,1
Anti_Social,1,-5.293216,50.221583,1
